game_id,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,MappedHomeTeam,MappedAwayTeam,season,datetime,league,game_day,HomeTeam,AwayTeam,FTHG,FTAG,IWH,IWD,IWA,goal_diff,odds_diff,result
2021-01-16DortmundMainz,Borussia Dortmund,Mainz,85.19,58.85,0.7932,0.0669,0.1399,2.66,0.65,Dortmund,Mainz,2020/2021,2021-01-16,D1,16.0,Dortmund,Mainz,1.0,1.0,1.2,7.1,13.0,0.0,-11.8,1-1
2021-01-16FC KolnHertha,FC Cologne,Hertha Berlin,59.62,67.99,0.3668,0.3547,0.2785,1.29,1.27,FC Koln,Hertha,2020/2021,2021-01-16,D1,16.0,FC Koln,Hertha,0.0,0.0,3.3,3.25,2.25,0.0,1.0499999999999998,0-0
2021-01-16Werder BremenAugsburg,Werder Bremen,FC Augsburg,64.07,59.16,0.4749,0.2418,0.2833,1.41,0.92,Werder Bremen,Augsburg,2020/2021,2021-01-16,D1,16.0,Werder Bremen,Augsburg,2.0,0.0,2.2,3.3,3.45,2.0,-1.25,2-0
2021-01-16HoffenheimBielefeld,TSG Hoffenheim,Arminia Bielefeld,69.91,56.53,0.5671,0.1896,0.2434,1.77,0.92,Hoffenheim,Bielefeld,2020/2021,2021-01-16,D1,16.0,Hoffenheim,Bielefeld,0.0,0.0,1.7,3.95,4.8,0.0,-3.0999999999999996,0-0
2021-01-16WolfsburgRB Leipzig,VfL Wolfsburg,RB Leipzig,75.19,84.09,0.3159,0.4172,0.2669,1.25,1.47,Wolfsburg,RB Leipzig,2020/2021,2021-01-16,D1,16.0,Wolfsburg,RB Leipzig,2.0,2.0,3.5,3.6,2.05,0.0,1.4500000000000002,2-2
2021-01-16StuttgartM'gladbach,VfB Stuttgart,Borussia Monchengladbach,71.14,77.06,0.3347,0.4234,0.2419,1.52,1.73,Stuttgart,M'gladbach,2020/2021,2021-01-16,D1,16.0,Stuttgart,M'gladbach,2.0,2.0,2.85,3.75,2.3,0.0,0.5500000000000003,2-2
2021-01-17Bayern MunichFreiburg,Bayern Munich,SC Freiburg,91.19,70.57,0.8117,0.065,0.1234,2.99,0.76,Bayern Munich,Freiburg,2020/2021,2021-01-17,D1,16.0,Bayern Munich,Freiburg,2.0,1.0,1.22,7.1,11.5,1.0,-10.28,2-1
2021-01-17Ein FrankfurtSchalke 04,Eintracht Frankfurt,Schalke 04,74.14,53.82,0.6579999999999999,0.1374,0.2047,2.12,0.85,Ein Frankfurt,Schalke 04,2020/2021,2021-01-17,D1,16.0,Ein Frankfurt,Schalke 04,3.0,1.0,1.53,4.55,5.6,2.0,-4.069999999999999,3-1
2021-01-19M'gladbachWerder Bremen,Borussia Monchengladbach,Werder Bremen,76.52,64.55,0.6222,0.1573,0.2206,1.98,0.88,M'gladbach,Werder Bremen,2020/2021,2021-01-19,D1,17.0,M'gladbach,Werder Bremen,1.0,0.0,1.6,4.05,5.4,1.0,-3.8000000000000003,1-0
2021-01-19MainzWolfsburg,Mainz,VfL Wolfsburg,59.49,74.79,0.2777,0.4692,0.2531,1.23,1.67,Mainz,Wolfsburg,2020/2021,2021-01-19,D1,17.0,Mainz,Wolfsburg,0.0,2.0,3.9,3.8,1.87,-2.0,2.03,0-2
2021-01-19HerthaHoffenheim,Hertha Berlin,TSG Hoffenheim,68.48,69.16,0.4083,0.33,0.2618,1.5,1.33,Hertha,Hoffenheim,2020/2021,2021-01-19,D1,17.0,Hertha,Hoffenheim,0.0,3.0,2.35,3.45,3.0,-3.0,-0.6499999999999999,0-3
2021-01-19LeverkusenDortmund,Bayer Leverkusen,Borussia Dortmund,81.26,84.89,0.3807,0.3554,0.2638,1.44,1.38,Leverkusen,Dortmund,2020/2021,2021-01-19,D1,17.0,Leverkusen,Dortmund,2.0,1.0,3.15,3.65,2.2,1.0,0.9499999999999997,2-1
2021-01-20Schalke 04FC Koln,Schalke 04,FC Cologne,53.23,59.81,0.3634,0.3518,0.2849,1.24,1.22,Schalke 04,FC Koln,2020/2021,2021-01-20,D1,17.0,Schalke 04,FC Koln,1.0,2.0,2.55,3.25,2.85,-1.0,-0.30000000000000027,1-2
2021-01-20RB LeipzigUnion Berlin,RB Leipzig,1. FC Union Berlin,84.27,70.68,0.6177,0.1515,0.2308,1.85,0.79,RB Leipzig,Union Berlin,2020/2021,2021-01-20,D1,17.0,RB Leipzig,Union Berlin,1.0,0.0,1.53,4.3,6.1,1.0,-4.569999999999999,1-0
2021-01-20AugsburgBayern Munich,FC Augsburg,Bayern Munich,58.84,91.13,0.0764,0.7851,0.1385,0.78,2.8,Augsburg,Bayern Munich,2020/2021,2021-01-20,D1,17.0,Augsburg,Bayern Munich,0.0,1.0,12.0,7.2,1.21,-1.0,10.79,0-1
2021-01-20BielefeldStuttgart,Arminia Bielefeld,VfB Stuttgart,57.81,71.74,0.2811,0.4415,0.2774,1.08,1.42,Bielefeld,Stuttgart,2020/2021,2021-01-20,D1,17.0,Bielefeld,Stuttgart,3.0,0.0,4.25,3.65,1.85,3.0,2.4,3-0
2021-01-20FreiburgEin Frankfurt,SC Freiburg,Eintracht Frankfurt,70.65,74.7,0.3636,0.3847,0.2516,1.51,1.56,Freiburg,Ein Frankfurt,2020/2021,2021-01-20,D1,17.0,Freiburg,Ein Frankfurt,2.0,2.0,2.85,3.5,2.4,0.0,0.4500000000000002,2-2
2021-01-22M'gladbachDortmund,Borussia Monchengladbach,Borussia Dortmund,76.48,84.77,0.3174,0.442,0.2406,1.48,1.78,M'gladbach,Dortmund,2020/2021,2021-01-22,D1,18.0,M'gladbach,Dortmund,4.0,2.0,3.35,3.6,2.1,2.0,1.25,4-2
2021-01-23MainzRB Leipzig,Mainz,RB Leipzig,59.11,84.67,0.177,0.5971,0.2258,0.96,1.95,Mainz,RB Leipzig,2020/2021,2021-01-23,D1,18.0,Mainz,RB Leipzig,3.0,2.0,7.5,4.9,1.4,1.0,6.1,3-2
2021-01-23LeverkusenWolfsburg,Bayer Leverkusen,VfL Wolfsburg,81.31,75.51,0.511,0.22899999999999998,0.26,1.62,1.0,Leverkusen,Wolfsburg,2020/2021,2021-01-23,D1,18.0,Leverkusen,Wolfsburg,0.0,1.0,2.05,3.6,3.45,-1.0,-1.4000000000000004,0-1
2021-01-23FreiburgStuttgart,SC Freiburg,VfB Stuttgart,69.83,70.15,0.4337,0.3201,0.2462,1.7,1.43,Freiburg,Stuttgart,2020/2021,2021-01-23,D1,18.0,Freiburg,Stuttgart,2.0,1.0,2.65,3.7,2.5,1.0,0.1499999999999999,2-1
